filename,filepath,collection,file_id,document_type,agency,year,subject_keywords,file_size,content_preview
237_Small_Business_Set-Asides_for_Office_Furniture.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/237_Small_Business_Set-Asides_for_Office_Furniture.md,template,,RFQ,GSA,,"acquisition, contract, furniture, it",4306,"Small Business Set-Asides for Office Furniture  While office furniture is a commodity that is often manufactured by large businesses, here are opportunities to carve out a piece of the office furnitur..."
019_Advisory_and_Consulting_Services_SOW_FRTIB.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/019_Advisory_and_Consulting_Services_SOW_FRTIB.md,template,,SOW,GSA,2022,"procurement, agreement, it, security, cyber, management, purchase, services, professional, maintenance, acquisition, technology, contract, facilities",29258,July 2022  Version 2.0  Advanced Persistent Threat
007_Acquisition_Program_Management_and_IT_Support_Serv.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/007_Acquisition_Program_Management_and_IT_Support_Serv.md,template,,SOW,GSA,2020,"procurement, agreement, it, security, cyber, management, purchase, services, maintenance, acquisition, performance, technology, surveillance, contract, quality",60054,U.S. General Services Administration  Acquisition Guidance for Procuring 
130_IT_Software_Cloud_Computing_Services_Ordering_Gui.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/130_IT_Software_Cloud_Computing_Services_Ordering_Gui.md,template,,PWS,GSA,2000,"procurement, agreement, it, security, management, purchase, services, professional, acquisition, performance, technology, surveillance, contract, facilities, quality",69337,"SOW/PWS ## DATE  [Department], [Agency] "
094_Feasibility_and_Environmental_Assessment_Task_Orde.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/094_Feasibility_and_Environmental_Assessment_Task_Orde.md,template,,RFQ,GSA,,"agreement, it, management, purchase, services, acquisition, contract, furniture",13156,"Leasing Furniture, Facts to Know GSA Multiple Award Schedule, Special Provisions – Leasing Furniture A lease is defined as a contract established for use of equipment or products, for a specific lengt..."
264_Template_for_Multifunction_Device_and_Network_Prin.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/264_Template_for_Multifunction_Device_and_Network_Prin.md,template,,PWS,VA,,"procurement, agreement, it, security, management, services, performance, surveillance, contract, facilities, quality",6524,Functional Area I: Multifunction Device and Network Printer Fleet Assessmen TEMPLATE 3: Vendor Neutral Recommendations and Bill of Material Creation Template 3 is designed for the purpose of procuring...
023_Application_Security_Testing_Buyers_Guide_GSA_2023.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/023_Application_Security_Testing_Buyers_Guide_GSA_2023.md,template,2023,SOO,GSA,2023,"procurement, agreement, it, security, cyber, management, purchase, services, professional, maintenance, acquisition, performance, technology, contract, quality",98192,Application Security Testing (AST) Buyer’s Guide  GSA
099_Fingerprinting_Services_Sources_Sought_Notice_DISA.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/099_Fingerprinting_Services_Sources_Sought_Notice_DISA.md,template,,PWS,GSA,2010,"procurement, it, management, services, acquisition, performance, technology, contract",11195,Request for Information (RFI) The Department of Veterans Affairs (VA) is issuing this RFI in accordance with FAR 15.201(e). This RFI is issued for the purpose of conducting capabilities and marke rese...
068_DISA_Electronic_Fingerprinting_Services_PWS.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/068_DISA_Electronic_Fingerprinting_Services_PWS.md,template,,PWS,GSA,2025,"procurement, agreement, it, cyber, security, management, purchase, services, professional, maintenance, acquisition, performance, technology, facilities, surveillance, contract, furniture, quality",109902,Cybersecurity Supply Chain Risk Management (C-SCRM) Acquisition Guide April 2025 Version 1.1
044_Chiller_Plant_Preventive_Maintenance_Services_SOW_.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/044_Chiller_Plant_Preventive_Maintenance_Services_SOW_.md,template,,PWS,GSA,2020,"procurement, agreement, it, security, management, purchase, maintenance, professional, services, acquisition, performance, technology, surveillance, contract, facilities, quality",129524,"SOLICITATION/CONTRACT/ORDER FOR COMMERCIAL ITEMS OFFEROR TO COMPLETE BLOCKS 12, 17, 23, 24, & 30 2 . CONTRACT NO  3 . AWARD/EFFECTIVE DATE"
203_Program_Management_PM_engineering_support_services.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/203_Program_Management_PM_engineering_support_services.md,template,,PWS,DOD,2018,"procurement, agreement, it, security, cyber, management, purchase, services, professional, maintenance, acquisition, performance, technology, facilities, surveillance, contract, furniture, quality",119282,Performance Work Statement (PWS) For Battle Command Training Equipment (BCTE)  Prepared by:
180_Overview_of_Facilities_Maintenance_and_Management_.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/180_Overview_of_Facilities_Maintenance_and_Management_.md,template,,SOW,GSA,2017,"procurement, it, cyber, security, management, maintenance, services, acquisition, contract, facilities",4396,U.S. General Services Administration  Facilities Maintenance and Management At Your Service: Acquisition experts provide Best Value Solutions o meet any need.
235_Small_Business_GWACs_Ordering_Guide_GSA_2021.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/235_Small_Business_GWACs_Ordering_Guide_GSA_2021.md,template,2021,PWS,GSA,2021,"procurement, agreement, it, security, cyber, management, purchase, services, maintenance, professional, acquisition, performance, technology, surveillance, contract, quality",120642,U.S. General Services Administration  Small Business Governmentwide Acquisition Contracts Ordering Guide 
074_Deciding_to_Lease_or_Buy_Office_Management_Product.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/074_Deciding_to_Lease_or_Buy_Office_Management_Product.md,template,,GSA,GSA,,"it, management, purchase, acquisition, contract, furniture",6663,"Deciding to Lease or Buy Office Management Products and Furniture To Lease or Buy? When you are deciding to lease or buy equipment for your organization, you will most likely consult FAR 7.401 which w..."
069_Data_Analytics_and_Wargame_Modeling_RFI_OSD_CAPE_2.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/069_Data_Analytics_and_Wargame_Modeling_RFI_OSD_CAPE_2.md,template,2,PWS,GSA,2016,"procurement, agreement, it, security, purchase, services, acquisition, performance, contract",5915,Request for Information/Source Sough Sources Sought Number: HQ003417RFABPA Agency/Office: Washington Headquarters Services/Acquisition Directorate (WHS/AD) Location: Vendor Location Title: OSD/CAPE FU...
081_Electronic_Records_Management_Buyers_Guide_GSA.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/081_Electronic_Records_Management_Buyers_Guide_GSA.md,template,,PWS,GSA,2019,"procurement, agreement, it, management, purchase, services, maintenance, acquisition, contract, facilities",9705,Electronic Records Managemen Buying Guide  Getting Started Section 1: Determining Level of Required Acquisition Suppor
131_IT_Tech_Support_Services_PWS_DOD_2022.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/131_IT_Tech_Support_Services_PWS_DOD_2022.md,template,2022,PWS,GSA,2022,"procurement, agreement, it, security, cyber, management, purchase, services, professional, maintenance, acquisition, performance, technology, contract, quality",84271,Guidance & Not Legal Authority  General Services Administration (GSA) Multiple Award Schedule (MAS) Special Item Number (SIN) 518210C
002_ASL_and_Foreign_Language_Interpreter_Services_PWS_.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/002_ASL_and_Foreign_Language_Interpreter_Services_PWS_.md,template,,PWS,GSA,2020,"procurement, agreement, it, security, cyber, management, purchase, services, professional, maintenance, acquisition, performance, technology, contract",30401,2nd Generation IT Products (2GIT) Blanket Purchase Agreements (BPAs) Ordering Guide May 2020 
115_Highly_Adaptive_Cybersecurity_Services_Overview_GS.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/115_Highly_Adaptive_Cybersecurity_Services_Overview_GS.md,template,,SOW,GSA,,"procurement, it, cyber, security, management, purchase, services, acquisition, performance, technology, contract, quality",13633,GSA/FAS/ITC IT Security Division Highly Adaptive Cybersecurity Services Ordering Guide  Highly Adaptive Cybersecurity Services (HACS) Special Item Number (SIN) 54151HACS
240_Software_House_Access_Control_Intrusion_Detection.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/240_Software_House_Access_Control_Intrusion_Detection.md,template,,SOW,GSA,2050,"it, security, services, professional, performance, contract, facilities, quality",46256,Draft of Statement of Work Proposed for USAID Training and Learning Center A.1  PURPOSE
045_Civil_Engineering_Support_Services_PWS_USAF.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/045_Civil_Engineering_Support_Services_PWS_USAF.md,template,,PWS,GSA,2020,"procurement, agreement, it, security, management, purchase, services, professional, maintenance, acquisition, performance, technology, surveillance, contract, facilities, quality",129517,"SOLICITATION/CONTRACT/ORDER FOR COMMERCIAL ITEMS OFFEROR TO COMPLETE BLOCKS 12, 17, 23, 24, & 30 2 . CONTRACT NO  3 . AWARD/EFFECTIVE DATE"
143_Legacy_Applications_Support_PWS_USAF_2021.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/143_Legacy_Applications_Support_PWS_USAF_2021.md,template,2021,PWS,DOD,2021,"it, security, cyber, management, purchase, services, maintenance, acquisition, performance, technology, surveillance, contract, facilities, quality",51509,"PERFORMANCE WORK STATEMENT (PWS) ## LEGACY APPLICATIONS SUPPORT April 2021 1. DESCRIPTION OF SERVICES. The contractor shall provide all labor, supplies, materials and services to provide application d..."
268_Test_and_Evaluation_Services_RFI_DHS_2020.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/268_Test_and_Evaluation_Services_RFI_DHS_2020.md,template,2020,SOW,GSA,2020,"procurement, agreement, it, security, cyber, services, acquisition, technology, contract",5283,"U.S. Department of Homeland Security Washington, DC 20528  Request for Information "
167_Mobile_Video_Surveillance_System_SOW_CBP_2013.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/167_Mobile_Video_Surveillance_System_SOW_CBP_2013.md,template,2013,SOW,VA,2013,"procurement, it, security, management, maintenance, services, acquisition, performance, technology, surveillance, contract, quality",44230,STATEMENT OF WORK – INITIAL ORDER ATTACHMENT J-2 TO RFP HSBP1012R0054 13 MAY 2013  Developed By:
220_Repair_of_Electrical_Distribution_System_SOW_Dept_.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/220_Repair_of_Electrical_Distribution_System_SOW_Dept_.md,template,,SOW,DOD,2022,"it, security, management, services, maintenance, contract, facilities",10668,STATEMENT OF WORK AND REQUEST FOR QUOTE (RFQ) PROCESS ## RESILIENCE ANALYSIS AND DESIGN FOR THE REPAIRS OF THE LONGARE ELECTRICAL DISTRIBUTION SYSTEMS (LEDS) 207 TH MILITARY INTELLIGENCE BRIGADE PART ...
205_Program_Management_Support_Market_Research_as_a_Se.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/205_Program_Management_Support_Market_Research_as_a_Se.md,template,,RFI,GSA,2018,"procurement, it, cyber, management, acquisition, services, performance, contract",15512,8/3/2018  Qualtrics Survey Software  Market Research Introduction
063_Contract_Comparison_Workbook_for_Alliant_2_GWAC_GS.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/063_Contract_Comparison_Workbook_for_Alliant_2_GWAC_GS.md,template,,PWS,GSA,2020,"procurement, agreement, it, security, cyber, management, purchase, services, professional, acquisition, performance, technology, contract",38614,General Services Administration (GSA)  Technology Solutions for Your Mission Requirements: Alliant 2 Governmentwide Acquisition Contract (GWAC)
141_Landscaping_Services_RFQ_GSA_2017.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/141_Landscaping_Services_RFQ_GSA_2017.md,template,2017,RFQ,GSA,2017,services,4071,                   
188_Physical_Security_Support_RFI_IRS_2020.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/188_Physical_Security_Support_RFI_IRS_2020.md,template,2020,PWS,GSA,2020,"agreement, it, security, management, purchase, services, professional, maintenance, acquisition, performance, technology, surveillance, contract, facilities",50475,1 GSA E-BUY REQUEST FOR INFORMATION (RFI) NOTICE Type of Notice: Request for Information (RFI) Reference Number: 2032H8-20-N-00004
116_How_to_Acquire_Furniture_through_a_Reimbursable_Wo.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/116_How_to_Acquire_Furniture_through_a_Reimbursable_Wo.md,template,,SOW,GSA,2023,"procurement, it, security, cyber, management, purchase, services, acquisition, technology, contract, furniture, quality",4013,U.S. General Services Administration  MAS IT SIN for Security Solutions ## H I GHLY ADAPTI VE CYBERS ECU RI TY S E RV I C ES Highly Adaptive Cybersecurity Services (HACS)
168_Multi-Function_Devices_Buyers_Guide_GSA_2024.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/168_Multi-Function_Devices_Buyers_Guide_GSA_2024.md,template,2024,SOW,GSA,2024,"procurement, it, management, purchase, services, professional, maintenance, acquisition, technology, contract, furniture, quality",23133,U.S. General Services Administration  Multi-Function Device (MFD) Buying Guide Acquiring multi-function devices is a necessity for normal business operations. These
169_Multi-function_Device_and_Network_Printer_Fleet_As.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/169_Multi-function_Device_and_Network_Printer_Fleet_As.md,template,,PWS,GSA,,"procurement, agreement, it, security, management, purchase, services, maintenance, acquisition, performance, surveillance, contract, quality",16861,Formatted: Font: (Default) Arial  Federal Strategic Sourcing Initiative Print Management Services ## TASK ORDER TEMPLATE
138_Key_Information_for_Leasing_a_Copier_GSA_2024.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/138_Key_Information_for_Leasing_a_Copier_GSA_2024.md,template,2024,SOW,GSA,2024,"procurement, agreement, it, management, purchase, services, maintenance, acquisition, performance, contract",25571,"Copier Leasing Information GSA Multiple Award Schedule ## GETTING STARTED  To begin, an ordering agency contracting officer should obtain a current copy of the contractor’s authorized GSA Multiple"
192_Post_Quantum_Cryptography_Buyers_Guide_GSA_2025.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/192_Post_Quantum_Cryptography_Buyers_Guide_GSA_2025.md,template,2025,SOO,GSA,2025,"procurement, agreement, it, security, cyber, management, purchase, services, maintenance, professional, acquisition, performance, technology, contract, quality",68436,U.S. General Services Administration  Post Quantum Cryptography Buyer’s Guide
212_Quantum_Information_Science_and_Technology_book.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/212_Quantum_Information_Science_and_Technology_book.md,template,,SOW,GSA,2024,"procurement, it, security, cyber, management, services, maintenance, professional, acquisition, performance, technology, contract",77189,U.S. General Services Administration Federal Acquisition Service (FAS) Information Technology Category (ITC)  Quantum Information Science
034_Blast_Study_Civil_Engineering_SOW_GSA_2019.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/034_Blast_Study_Civil_Engineering_SOW_GSA_2019.md,template,2019,SOW,GSA,2019,"procurement, agreement, it, purchase, services, acquisition, technology, contract",4319,U.S. General Services Administration  GSA’s Government-wide Strategic Solutions (GSS) Program
004_Access_Control_System_SOW_USA.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/004_Access_Control_System_SOW_USA.md,template,,SOW,GSA,2015,"it, security, cyber, management, services, maintenance, acquisition, performance, technology, contract, quality",24319,SOURCES SOUGHT NOTICE – Request for Information Operational and Acceptance Testing Support Services (OATSS) 70T04020I9NAP6403/A00001 (Revisions in red text) I. INTRODUCTION/PURPOSE
082_Electronic_Records_Management_Buying_Tips.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/082_Electronic_Records_Management_Buying_Tips.md,template,,PWS,GSA,2019,"procurement, agreement, it, management, purchase, services, maintenance, acquisition, contract, facilities",9700,Electronic Records Managemen Buying Guide  Getting Started Section 1: Determining Level of Required Acquisition Suppor
039_Buyers_Guide_for_Government-wide_Strategic_Solutio.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/039_Buyers_Guide_for_Government-wide_Strategic_Solutio.md,template,,RFI,GSA,2022,"agreement, it, management, purchase, services, acquisition, performance, technology, contract",15272,U.S. General Services Administration  GSA’s Government-wide Strategic Solutions (GSS) for Desktops and Laptops Program
182_Paint_and_Carpet_Replacement_SOW_Dept_of_the_Army_.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/182_Paint_and_Carpet_Replacement_SOW_Dept_of_the_Army_.md,template,,PWS,DOD,2021,"agreement, it, security, management, purchase, services, maintenance, professional, performance, facilities, surveillance, contract, furniture, quality",80818,"US ARMY ENGINEERING AND SUPPORT CENTER, HUNTSVILLE FACILITIES REPAIR & RENEWAL PROGRAM CONTRACT NO. Interior Repairs Paint and Carpet Replacement in Buildings 2313, 3308 and 3315"
107_Global_Debt_Collection_SOW_OPIC.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/107_Global_Debt_Collection_SOW_OPIC.md,template,,PWS,GSA,2017,"procurement, agreement, it, security, purchase, services, professional, maintenance, acquisition, performance, contract",22513,Introduction  GSA Multiple Award Schedules (MAS) Desk Reference .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  .  . 1  What’s New? .  .  .  .  .  ...
062_Contract_Closeout_Support_Services_PWS_NGIA_2018.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/062_Contract_Closeout_Support_Services_PWS_NGIA_2018.md,template,2018,PWS,GSA,2018,"procurement, agreement, it, security, cyber, management, purchase, services, maintenance, acquisition, contract",7979,GSA/FAS/ITC/IT Products Continuous Diagnostics and Mitigation (CDM) Tools Ordering Procedure  Overview GSA partnered with the Department of Homeland Security (DHS) Cybersecurity and
106_GSA_Multiple_Award_Schedules_Desk_Reference.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/106_GSA_Multiple_Award_Schedules_Desk_Reference.md,template,,SOW,GSA,,"it, security, management, performance, contract, furniture, quality",9834,Building Particulars Documen Building Restrictions: [provide information on building restrictions here] Example: All items entering the building must be X-rayed and examined by building security prior...
273_Treatment_of_Invasive_Exotic_Plant_Species_PWS_NPS.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/273_Treatment_of_Invasive_Exotic_Plant_Species_PWS_NPS.md,template,,PWS,VA,2020,"it, management, services, performance, technology, contract",27726,"Performance Work Statement (PWS) Treatment of Invasive Exotic Plant Species Great Smoky Mountains National Park Gatlinburg, Sevier county, TN "
119_Human_Resources_Management_Support_Services_PWS_DO.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/119_Human_Resources_Management_Support_Services_PWS_DO.md,template,,PWS,GSA,2021,"procurement, agreement, it, security, management, purchase, services, professional, maintenance, acquisition, performance, technology, surveillance, contract, quality",60873,GSA Federal Acquisition Service Rev. March 2021  Table of Contents Who is this Guide Written for? ........................................................................................................
135_Instructions_to_Develop_a_Furniture_Design_SOW.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/135_Instructions_to_Develop_a_Furniture_Design_SOW.md,template,,SOW,VA,,"procurement, agreement, it, security, purchase, services, professional, acquisition, performance, contract, furniture, quality",10470,Instructions and Guideline for Completing he Design Template Statement of Work (SOW) Instructions: The template must be edited or information added in order to develop a complete Statement of Work (SO...
032_Beneficiary_Satisfaction_Survey_SOW_HHS_2020.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/032_Beneficiary_Satisfaction_Survey_SOW_HHS_2020.md,template,2020,PWS,DOD,2020,"procurement, agreement, it, security, cyber, management, purchase, services, professional, maintenance, acquisition, performance, technology, facilities, surveillance, contract, furniture, quality",143234,Performance Work Statement (PWS) For Battle Command Training Equipment (BCTE)  Prepared by:
218_Remote_Video_Surveillance_System_Upgrade_PWS_CBP_2.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/218_Remote_Video_Surveillance_System_Upgrade_PWS_CBP_2.md,template,2,PWS,GSA,2009,"procurement, it, security, management, furniture, purchase, services, maintenance, professional, acquisition, performance, technology, surveillance, contract, facilities, quality",120276,Volume I – Technical and Managemen Tab B – Performance Work Statemen  Tab B – P E R F O R M A N C E W O R K S TAT E M E N T 
191_Portable_Guard_Booths_SOW.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/191_Portable_Guard_Booths_SOW.md,template,,SOW,,,"contract, purchase, it, security",2281,"FORT JACKSON, SOUTH CAROLINA 1. SCOPE: Fort Jackson is looking to purchase 1 Portable Guard Booths, consumables, and instructor led onsite training. The purchase and delivery of 1 Portable Guard Booth..."
053_Communications_Strategy_Analysis_PWS_USFK_2021.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/053_Communications_Strategy_Analysis_PWS_USFK_2021.md,template,2021,PWS,DOD,2021,"procurement, it, cyber, security, management, purchase, services, maintenance, acquisition, performance, technology, contract, facilities, quality",37399,PERFORMANCE WORK STATEMENT ## FOR ## AIR FORCE RESERVE COMMAND ENTERPRISEWIDE COMMAND POST COMMAND AND CONTROL (C2) SYSTEM 13 July 2018
213_Questionnaire_to_Develop_a_Furniture_Design_SOW.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/213_Questionnaire_to_Develop_a_Furniture_Design_SOW.md,template,,SOW,VA,,"procurement, it, purchase, professional, acquisition, contract, furniture",5439,"Design Template Questionnaire Overview The first step in preparing a Statement of Work (SOW) is to assess the current conditions, assets and information available related to the project. This question..."
224_SCRIPTS_BPAs_ordering_guide_GSA_2025.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/224_SCRIPTS_BPAs_ordering_guide_GSA_2025.md,template,2025,PWS,GSA,2025,"procurement, agreement, it, security, cyber, management, purchase, services, professional, maintenance, acquisition, performance, technology, surveillance, contract, facilities, quality",146986,U.S. General Services Administration  Supply Chain Risk Illumination Professional Tools and Services (SCRIPTS) Blanke Purchase Agreement (BPA) Ordering Guide
172_NARA_Transition_to_Electronic_Records_Memo.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/172_NARA_Transition_to_Electronic_Records_Memo.md,template,,Guide,VA,2050,"facilities, it, security, management",10576,"WASHINGTON, D.C. 20503  June 28, 2019 M-19-21 ## MEMORANDUM FOR HEADS OF EXECUTIVE DEPARTMENTS AND AGENCIES"
102_Flight_Training_Device_Upgrade_and_Modernization_S.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/102_Flight_Training_Device_Upgrade_and_Modernization_S.md,template,,SOO,GSA,2020,"procurement, agreement, it, security, management, purchase, services, maintenance, acquisition, performance, technology, surveillance, contract, facilities, quality",75408,The following is a brief overview of several applicable conditions as they relate to any award placed against this RFQ. Any order(s) resulting from the subject procurement will be made in accordance w...
083_Elevator_Maintenance_and_Repair_Services_RFQ_DOI_2.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/083_Elevator_Maintenance_and_Repair_Services_RFQ_DOI_2.md,template,2,RFI,GSA,,"procurement, it, management, maintenance, services, acquisition, contract",3457,Electronic Records Management (ERM) Buying Tips  1. Engage NARA and GSA: ​NARA and GSA have partnered to develop a premier solution for agencies looking to implement an ERM solution. Through this part...
067_Cybersecurity_Supply_Chain_Risk_Management_Acquisi.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/067_Cybersecurity_Supply_Chain_Risk_Management_Acquisi.md,template,,PWS,GSA,2025,"procurement, agreement, it, cyber, security, management, purchase, services, professional, maintenance, acquisition, performance, technology, facilities, surveillance, contract, furniture, quality",109909,Cybersecurity Supply Chain Risk Management (C-SCRM) Acquisition Guide April 2025 Version 1.1
089_Enterprise_Infrastructure_Solutions_EIS_Ordering_G.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/089_Enterprise_Infrastructure_Solutions_EIS_Ordering_G.md,template,,PWS,GSA,2019,"procurement, agreement, it, security, management, purchase, services, maintenance, acquisition, performance, technology, contract, quality",113267,"Enterprise Infrastructure Solutions (EIS) Fair Opportunity and Ordering Guide  Version 5.2 October 15, 2019"
037_Building_OM_Services_SOW_GSA_2022.md,/Users/J/Desktop/Resources/Other Templates/template_markdown/037_Building_OM_Services_SOW_GSA_2022.md,template,2022,PWS,GSA,2022,"procurement, agreement, it, security, management, furniture, purchase, services, maintenance, professional, acquisition, performance, surveillance, contract, facilities, quality",103527,"Building Maintenance & Operations (BMO) Government-Wide, Strategic Sourcing Solution  The BMO and BMO SB ORDERING GUIDE This Ordering Guide sets forth the procedures for issuing task orders against th..."
